,season,team1,team2,winner
664,2018,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings
665,2018,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
666,2018,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
667,2018,Kolkata Knight Riders,Chennai Super Kings,Kolkata Knight Riders
668,2018,Kings XI Punjab,Mumbai Indians,Mumbai Indians
669,2018,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings
670,2018,Sunrisers Hyderabad,Delhi Daredevils,Sunrisers Hyderabad
671,2018,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians
672,2018,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab
673,2018,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad
674,2018,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals
675,2018,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians
676,2018,Delhi Daredevils,Sunrisers Hyderabad,Sunrisers Hyderabad
677,2018,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals
678,2018,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders
679,2018,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore
680,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
681,2018,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
682,2018,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore
683,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
684,2018,Mumbai Indians,Kings XI Punjab,Mumbai Indians
685,2018,Royal Challengers Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore
686,2018,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils
687,2018,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals
688,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders
689,2018,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
690,2018,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
691,2018,Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings
692,2018,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
693,2018,Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad
694,2018,Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings
